,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
152,562,1800,2610.0,3100,0 days 04:40:00.000000000,0 days 10:00:00.000000000,1 days 03:30:00.000000000
152,611,1200,2136.25,3000,0 days 03:20:00.000000000,0 days 07:50:37.500000000,0 days 11:55:00.000000000
152,628,1800,3430.6666666666665,7250,0 days 04:50:00.000000000,0 days 06:40:22.000000000,0 days 12:25:00.000000000
152,845,1450,1824.4444444444443,3280,0 days 01:50:00.000000000,0 days 04:40:33.333333333,0 days 14:30:00.000000000
152,1088,3080,3596.25,4800,0 days 08:35:00.000000000,0 days 10:01:52.500000000,0 days 11:55:00.000000000
152,1918,8480,10523.333333333334,12600,0 days 19:40:00.000000000,3 days 02:30:00.000000000,7 days 14:30:00.000000000
155,485,8980,8980.0,8980,1 days 08:36:00.000000000,1 days 08:36:00.000000000,1 days 08:36:00.000000000
162,628,16395,16395.0,16395,1 days 23:30:00.000000000,1 days 23:30:00.000000000,1 days 23:30:00.000000000
168,76,7280,8321.111111111111,9580,1 days 06:20:00.000000000,1 days 12:07:13.333333333,1 days 18:15:00.000000000
168,126,2790,3810.0,5250,0 days 07:00:00.000000000,0 days 11:43:20.000000000,0 days 17:20:00.000000000
168,200,2100,6125.833333333333,9770,0 days 06:28:00.000000000,0 days 14:51:45.000000000,1 days 22:40:00.000000000
168,453,2150,3093.5714285714284,4390,0 days 03:50:00.000000000,0 days 05:42:51.428571428,0 days 09:20:00.000000000
168,467,3790,4772.0,6390,0 days 11:00:00.000000000,0 days 15:24:00.000000000,1 days 03:30:00.000000000
168,485,2700,4751.764705882353,10900,0 days 05:44:00.000000000,0 days 10:20:00.000000000,0 days 14:40:00.000000000
168,524,2390,6209.473684210527,10570,0 days 04:59:00.000000000,0 days 09:15:09.473684210,0 days 18:30:00.000000000
168,628,1190,1833.2692307692307,4070,0 days 02:20:00.000000000,0 days 03:14:27.692307692,1 days 06:25:00.000000000
168,692,5000,5625.0,6250,0 days 23:35:00.000000000,1 days 06:07:30.000000000,1 days 12:40:00.000000000
168,737,850,1254.6875,1700,0 days 01:30:00.000000000,0 days 02:23:35.625000000,0 days 17:15:00.000000000
168,1061,2200,8042.040816326531,12000,0 days 04:24:00.000000000,0 days 05:49:24.489795918,1 days 07:30:00.000000000
168,5466,500,1211.6666666666667,1950,0 days 01:10:00.000000000,0 days 05:50:30.000000000,0 days 21:20:00.000000000
171,504,3700,7092.857142857143,14400,0 days 05:48:00.000000000,0 days 14:36:25.714285714,0 days 20:35:00.000000000
171,628,2050,3622.5,7960,0 days 02:50:00.000000000,0 days 05:50:21.000000000,1 days 00:10:00.000000000
171,2023,4046,4236.5,4427,0 days 11:25:00.000000000,0 days 15:37:30.000000000,0 days 19:50:00.000000000
173,11,950,2626.8888888888887,4300,0 days 01:30:00.000000000,0 days 04:13:26.666666666,0 days 22:28:00.000000000
